scientific_name,title,author,license,original_url,card_url
Achillea millefolium,Achillea millefolium,anro0002,CC BY-SA 2.0,https://www.flickr.com/photos/74738817@N07/32147093328,https://live.staticflickr.com/4914/32147093328_6f898948c7_z.jpg
Actaea pachypoda,"Dolls' eyes, Actaea pachypoda",USFWS/Southeast,Public Domain Mark 1.0,https://www.flickr.com/photos/41464593@N02/21951441813,https://live.staticflickr.com/603/21951441813_1a5298611b_z.jpg
Amorpha fruticosa,False Indigo (Amorpha fruticosa),Mary Keim,CC BY-NC-SA 2.0,https://www.flickr.com/photos/38514062@N03/27457039038,https://live.staticflickr.com/875/27457039038_a757f3c399_z.jpg
Amsonia tabernaemontana,Amsonia tabernaemontana 5/2022 Blue Star p1-,F. D. Richards,CC BY-SA 2.0,https://www.flickr.com/photos/50697352@N00/52112821269,https://live.staticflickr.com/65535/52112821269_4def52e009_z.jpg
Andropogon gerardii,Andropogon scoparium and Andropogon gerardii,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/20480264444,https://live.staticflickr.com/5654/20480264444_5db4ac9995_z.jpg
Aquilegia canadensis,"Aquilegia canadensis (wild columbine, red columbine)",jmlwinder,CC BY-NC-ND 2.0,https://www.flickr.com/photos/83833206@N00/26482589582,https://live.staticflickr.com/1629/26482589582_630ee7911c_z.jpg
Arisaema triphyllum,Jack-in-the-Pulpit (Arisaema triphyllum),Under the same moon...,CC BY 2.0,https://www.flickr.com/photos/71119007@N03/50365131571,https://live.staticflickr.com/65535/50365131571_b2300b218e_z.jpg
Aronia melanocarpa,Aronia melanocarpa 'Chokeberry} 5/2021 Chokeberry-,F. D. Richards,CC BY-SA 2.0,https://www.flickr.com/photos/50697352@N00/51159090469,https://live.staticflickr.com/65535/51159090469_d93bb4b83b_z.jpg
Aruncus dioicus,Aruncus dioicus - Rosaceae,Kerry D Woods,CC BY-NC-ND 2.0,https://www.flickr.com/photos/93854456@N03/51275271363,https://live.staticflickr.com/65535/51275271363_46578b88ab_z.jpg
Asarum canadense,Wild Ginger (Asarum canadense),wackybadger,CC BY-SA 2.0,https://www.flickr.com/photos/8584048@N05/25301612676,https://live.staticflickr.com/1604/25301612676_47d3ec48ec_z.jpg
Asclepias incarnata,Swamp Milkweed,matthewbeziat,CC BY-NC 2.0,https://www.flickr.com/photos/109690096@N08/35335126445,https://live.staticflickr.com/4207/35335126445_5e9f77f9ac_z.jpg
Asclepias syriaca,Common Milkweed  (Asclepias Syriaca),Melinda Young Stuart,CC BY-NC-ND 2.0,https://www.flickr.com/photos/92033577@N00/27095333894,https://live.staticflickr.com/7313/27095333894_50f5161ba8_z.jpg
Cephalanthus occidentalis,Cephalanthus occidentalis,peganum,CC BY-SA 2.0,https://www.flickr.com/photos/26698606@N03/50166058032,https://live.staticflickr.com/65535/50166058032_5a1c012fb1_z.jpg
Ilex verticillata,Ilex verticillata (Common Winterberry),Plant Image Library,CC BY-SA 2.0,https://www.flickr.com/photos/138014579@N08/38214200252,https://live.staticflickr.com/4463/38214200252_3647ecf29a_z.jpg
Lobelia cardinalis,Lobelia cardinalis,BlueRidgeKitties,CC BY-NC-SA 2.0,https://www.flickr.com/photos/41380738@N05/24736605997,https://live.staticflickr.com/4753/24736605997_36a30d116c_z.jpg
