scientific_name,title,author,license,original_url,card_url
Abies lasiocarpa,Abies lasiocarpa -- huckleberry,podicep,CC BY-NC-SA 2.0,https://www.flickr.com/photos/28810412@N02/37065462304,https://live.staticflickr.com/4473/37065462304_ee886ee23f_z.jpg
Abutilon menziesii,Rust of Ko‘oloa ‘Ula (Abutilon menziesii),Plant pests and diseases,CC0,https://www.flickr.com/photos/62295966@N07/41999529930,https://live.staticflickr.com/1836/41999529930_6ac353f4b7_z.jpg
Acacia constricta,Whitethorn Acacia seedpods (Acacia constricta),Lon&Queta,CC BY-NC-SA 2.0,https://www.flickr.com/photos/48096653@N00/31802261077,https://live.staticflickr.com/7899/31802261077_9716587d21_z.jpg
Acacia farnesiana,Profusion of Gold .. Wow! ... I'm Thinking Of Planting One In My Garden,Chic Bee,CC BY 2.0,https://www.flickr.com/photos/80454089@N00/17174761081,https://live.staticflickr.com/7640/17174761081_3264732458_z.jpg
Acacia greggii,Catclaw Acacia prickle (Senegalia greggii),Joshua Tree National Park,Public Domain Mark 1.0,https://www.flickr.com/photos/115357548@N08/36235587380,https://live.staticflickr.com/4344/36235587380_1e97bd4dd7_z.jpg
Acacia koa,starr-120710-9928-Acacia_koa-habit-Ohialani_Haiku-Maui,Starr Environmental,CC BY 2.0,https://www.flickr.com/photos/97499887@N06/25160837586,https://live.staticflickr.com/1712/25160837586_142e3e507a_z.jpg
Acer circinatum,Blooming Vine Maple,Chancelrie,CC BY-NC 2.0,https://www.flickr.com/photos/131138591@N06/26752406845,https://live.staticflickr.com/1454/26752406845_8ce3a8c7c3_z.jpg
Acer glabrum,Rocky Mountain Maple  (Acer glabrum),GlacierNPS,Public Domain Mark 1.0,https://www.flickr.com/photos/43288043@N04/48138938302,https://live.staticflickr.com/65535/48138938302_61668dffdd_z.jpg
Acer grandidentatum,Bigtooth maple,smallcurio,CC BY 2.0,https://www.flickr.com/photos/107480180@N03/38560674045,https://live.staticflickr.com/4599/38560674045_b66bf60734_z.jpg
Acer macrophyllum,Usnea longissima on bigleaf maple,wanderflechten,CC BY-NC-ND 2.0,https://www.flickr.com/photos/29750062@N06/21885379383,https://live.staticflickr.com/631/21885379383_9793e381c2_z.jpg
Acer negundo,Boxelder blooming...,cotinis,CC BY-NC 2.0,https://www.flickr.com/photos/42264328@N00/49699178001,https://live.staticflickr.com/65535/49699178001_823671a898_z.jpg
Acer rubrum,Red Maple Flowers,HorsePunchKid,CC BY-NC-SA 2.0,https://www.flickr.com/photos/17373191@N00/16504691133,https://live.staticflickr.com/7585/16504691133_aca40e2ab0_z.jpg
Acer saccharinum,Acer saccharinum (Silver Maple),Plant Image Library,CC BY-SA 2.0,https://www.flickr.com/photos/138014579@N08/25649711652,https://live.staticflickr.com/1553/25649711652_e1b8fdb704_z.jpg
Acer saccharum,Maple Blossoms,BlueRidgeKitties,CC BY-NC-SA 2.0,https://www.flickr.com/photos/41380738@N05/50312142352,https://live.staticflickr.com/65535/50312142352_84bcc3580b_z.jpg
Achillea lanulosa,Yarrow - Achillée Millefeuille,monteregina,CC BY-NC-SA 2.0,https://www.flickr.com/photos/7196003@N02/52327036889,https://live.staticflickr.com/65535/52327036889_74ba9f1e6f_z.jpg
Achillea millefolium,Achillea millefolium,anro0002,CC BY-SA 2.0,https://www.flickr.com/photos/74738817@N07/32147093328,https://live.staticflickr.com/4914/32147093328_6f898948c7_z.jpg
Achlys triphylla,"Vanilla Leaf, Deer Foot - Achlys triphylla",tlhowes2012,CC BY-NC-SA 2.0,https://www.flickr.com/photos/83789606@N02/28571550562,https://live.staticflickr.com/8271/28571550562_b1eeea4ea7_z.jpg
