scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Abies lasiocarpa,Subalpine Fir,yes,yes,yes,no,yes,no,N/A,40'-100',10'-20',tree,7,7,4,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ABLA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ABLA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ABLA,https://plants.usda.gov/plant-profile/ABLA,https://en.wikipedia.org/wiki/Abies_lasiocarpa,https://www.wildflower.org/plants/result.php?id_plant=ABLA
Abutilon menziesii,Ko'Oloa 'Ula,no,yes,yes,no,yes,yes,late spring,6'-10',4'-6',shrub,4,3,6,6,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ABME2,https://plants.usda.gov/plant-profile/ABME2,https://en.wikipedia.org/wiki/Abutilon_menziesii,https://www.wildflower.org/plants/result.php?id_plant=ABME2
Acacia constricta,Whitethorn Acacia,no,no,yes,yes,no,no,late spring,10'-20',10'-20',"shrub,tree",6,7,8,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=VACO9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=VACO9,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=VACO9,https://plants.usda.gov/plant-profile/VACO9,https://en.wikipedia.org/wiki/Acacia_constricta,https://www.wildflower.org/plants/result.php?id_plant=VACO9
Acacia farnesiana,Sweet Acacia,no,no,yes,yes,no,no,late spring,15'-30',15'-25',"shrub,tree",7,5,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=VAFA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=VAFA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=VAFA,https://plants.usda.gov/plant-profile/VAFA,https://en.wikipedia.org/wiki/Acacia_farnesiana,https://www.wildflower.org/plants/result.php?id_plant=VAFA
Acacia greggii,Catclaw Acacia,no,no,yes,yes,no,no,late spring,10'-20',10'-20',"shrub,tree",8,7,8,9,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=SEGR4,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=SEGR4,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=SEGR4,https://plants.usda.gov/plant-profile/SEGR4,https://en.wikipedia.org/wiki/Acacia_greggii,https://www.wildflower.org/plants/result.php?id_plant=SEGR4
Acacia koa,Koa,no,yes,yes,no,yes,yes,N/A,30'-100',30'-50',tree,7,8,8,6,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACKO,https://plants.usda.gov/plant-profile/ACKO,https://en.wikipedia.org/wiki/Acacia_koa,https://www.wildflower.org/plants/result.php?id_plant=ACKO
Acer circinatum,Vine Maple,yes,yes,no,no,yes,no,late spring,10'-20',10'-20',"shrub,tree,vine",5,7,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACCI,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACCI,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACCI,https://plants.usda.gov/plant-profile/ACCI,https://en.wikipedia.org/wiki/Acer_circinatum,https://www.wildflower.org/plants/result.php?id_plant=ACCI
Acer glabrum,Rocky Mountain Maple,no,no,yes,no,yes,yes,late spring,15'-30',15'-25',"shrub,tree",6,6,5,6,ChatGPT,gpt-4-1106-preview,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACGL,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACGL,https://plants.usda.gov/plant-profile/ACGL,https://en.wikipedia.org/wiki/Acer_glabrum,https://www.wildflower.org/plants/result.php?id_plant=ACGL
Acer grandidentatum,Bigtooth Maple,no,no,yes,no,yes,no,late spring,30'-50',20'-30',tree,6,7,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACGR3,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACGR3,"USDA, adjusted","https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACGR3, removed shrub",https://plants.usda.gov/plant-profile/ACGR3,https://en.wikipedia.org/wiki/Acer_grandidentatum,https://www.wildflower.org/plants/result.php?id_plant=ACGR3
Acer macrophyllum,Bigleaf Maple,yes,yes,yes,yes,yes,no,late spring,50'-100',30'-50',tree,7,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACMA3,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACMA3,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACMA3,https://plants.usda.gov/plant-profile/ACMA3,https://en.wikipedia.org/wiki/Acer_macrophyllum,https://www.wildflower.org/plants/result.php?id_plant=ACMA3
Acer negundo,Boxelder,no,no,yes,no,yes,no,early spring,30'-50',30'-50',tree,3,5,7,5,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACNE2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACNE2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACNE2,https://plants.usda.gov/plant-profile/ACNE2,https://en.wikipedia.org/wiki/Acer_negundo,https://www.wildflower.org/plants/result.php?id_plant=ACNE2
Acer rubrum,Red Maple,no,yes,yes,no,yes,no,early spring,40'-60',40'-60',tree,5,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACRU,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACRU,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACRU,https://plants.usda.gov/plant-profile/ACRU,https://en.wikipedia.org/wiki/Acer_rubrum,https://www.wildflower.org/plants/result.php?id_plant=ACRU
Acer saccharinum,Silver Maple,yes,yes,yes,no,yes,no,early spring,50'-80',40'-60',tree,5,5,8,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACSA2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACSA2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACSA2,https://plants.usda.gov/plant-profile/ACSA2,https://en.wikipedia.org/wiki/Acer_saccharinum,https://www.wildflower.org/plants/result.php?id_plant=ACSA2
Acer saccharum,Sugar Maple,yes,yes,yes,yes,yes,no,early spring,60'-75',40'-60',tree,7,7,6,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACSA3,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACSA3,"USDA, adjusted","https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACSA3, removed shrub",https://plants.usda.gov/plant-profile/ACSA3,https://en.wikipedia.org/wiki/Acer_saccharum,https://www.wildflower.org/plants/result.php?id_plant=ACSA3
Achillea lanulosa,Western Yarrow,no,yes,no,yes,yes,no,late spring,1'-3',"18""-24""",flower-or-herb,7,5,6,7,ChatGPT,gpt-4-1106-preview,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACMIO,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACMIO,https://plants.usda.gov/plant-profile/ACMIO,https://en.wikipedia.org/wiki/Achillea_lanulosa,https://www.wildflower.org/plants/result.php?id_plant=ACMIO
Achillea millefolium,Common Yarrow,no,yes,yes,yes,no,no,late spring,1'-3',1'-3',flower-or-herb,7,5,7,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACMI2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACMI2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACMI2,https://plants.usda.gov/plant-profile/ACMI2,https://en.wikipedia.org/wiki/Achillea_millefolium,https://www.wildflower.org/plants/result.php?id_plant=ACMI2
Achlys triphylla,Sweet After Death,yes,yes,no,no,yes,no,late spring,1'-3',"12""-18""",flower-or-herb,3,4,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACTR,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACTR,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACTR,https://plants.usda.gov/plant-profile/ACTR,https://en.wikipedia.org/wiki/Achlys_triphylla,https://www.wildflower.org/plants/result.php?id_plant=ACTR
Actaea pachypoda,White Baneberry,yes,yes,no,no,yes,yes,late spring,1'-2',"12""-18""",flower-or-herb,5,2,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACPA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACPA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACPA,https://plants.usda.gov/plant-profile/ACPA,https://en.wikipedia.org/wiki/Actaea_pachypoda,https://www.wildflower.org/plants/result.php?id_plant=ACPA
Actaea racemosa,Black Baneberry,yes,yes,no,no,yes,yes,late spring,4'-8',2'-4',flower-or-herb,5,2,5,8,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACRA7,https://plants.usda.gov/plant-profile/ACRA7,https://en.wikipedia.org/wiki/Actaea_racemosa,https://www.wildflower.org/plants/result.php?id_plant=ACRA7
Actaea rubra,Red Baneberry,yes,yes,yes,no,yes,no,late spring,1'-3',"12""-18""",flower-or-herb,5,5,7,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACRU2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACRU2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACRU2,https://plants.usda.gov/plant-profile/ACRU2,https://en.wikipedia.org/wiki/Actaea_rubra,https://www.wildflower.org/plants/result.php?id_plant=ACRU2
Adenophorus periens,Pendant Kihifern,yes,yes,no,no,yes,yes,N/A,"12""-18""","12""-24""",flower-or-herb,3,5,5,6,ChatGPT,gpt-4-1106-preview,ChatGPT,gpt-4-1106-preview,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ADPE2,https://plants.usda.gov/plant-profile/ADPE2,https://en.wikipedia.org/wiki/Adenophorus_periens,https://www.wildflower.org/plants/result.php?id_plant=ADPE2
Adenostoma fasciculatum,Chamise,no,no,yes,yes,no,no,late spring,6'-12',6'-10',shrub,7,7,8,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADFA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ADFA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ADFA,https://plants.usda.gov/plant-profile/ADFA,https://en.wikipedia.org/wiki/Adenostoma_fasciculatum,https://www.wildflower.org/plants/result.php?id_plant=ADFA
