scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habit,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail
Achillea millefolium,Common Yarrow,no,yes,yes,yes,no,no,late spring,1'-3',1'-3',garden,7,5,7,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACMI2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACMI2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACMI2
Actaea pachypoda,White Baneberry,yes,yes,no,no,yes,yes,late spring,1'-2',"12""-18""",garden,5,2,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACPA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ACPA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ACPA
Amorpha fruticosa,False Indigo Bush,no,yes,yes,no,yes,no,late spring,3'-6',6'-8',shrub,7,7,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AMFR,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AMFR,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AMFR
Amsonia tabernaemontana,Eastern Bluestar,no,yes,no,no,no,yes,late spring,2'-3',"24""-36""",garden,7,5,5,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AMTA2,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AMTA2,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AMTA2
Andropogon gerardii,Big Bluestem,no,yes,yes,no,yes,no,late summer,4'-8',2'-3',grass,8,7,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ANGE,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ANGE,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ANGE
Aquilegia canadensis,Red Columbine,yes,yes,no,yes,yes,no,late spring,1'-3',"12""-18""",garden,7,6,4,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AQCA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=AQCA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=AQCA
Arisaema triphyllum,Jack in the Pulpit,yes,no,yes,no,yes,yes,late spring,1'-3',1'-2',garden,5,5,4,7,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ARTR,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ARTR,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ARTR
Aronia melanocarpa,Black Chokeberry,no,yes,no,no,yes,no,late spring,3'-6',3'-6',shrub,8,8,7,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ARME6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ARME6,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ARME6
Aruncus dioicus,Bride's Feathers,yes,yes,yes,no,yes,yes,late spring,3'-6',3'-4',garden,5,4,5,6,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ARDI8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ARDI8,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ARDI8
Asarum canadense,Canadian Wildginger,yes,yes,no,no,yes,no,N/A,"6""-12""","12""-18""",garden,4,5,7,8,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASCA,Wildflower,https://www.wildflower.org/plants/result.php?id_plant=ASCA,USDA,https://plantsservices.sc.egov.usda.gov/api/PlantProfile?symbol=ASCA
